9.000000000000000222e-01,9.499999999999999556e-01,6.999999999999999556e-01,5.500000000000000444e-01,5.000000000000000000e-01
4.110120000000000440e-01,3.713359999999999994e-01,3.696840000000000126e-01,3.845600000000000129e-01,3.044799999999999729e-01
3.918549108676608328e-01,3.449473226470655685e-01,3.468828017813759823e-01,3.716662138956799977e-01,2.883201492976639746e-01
3.830710773653250301e-01,3.295942807466840097e-01,3.337535399689659510e-01,3.666770990857974311e-01,2.784520855030881981e-01
3.796031717704777542e-01,3.197055825970655518e-01,3.253841930968749963e-01,3.657495149836986759e-01,2.714888979654043744e-01
3.792080628785440832e-01,3.128258401131049915e-01,3.195833234025405312e-01,3.671561574671111106e-01,2.658947293753305963e-01
3.807463517240337048e-01,3.077003732637728639e-01,3.152236852441441806e-01,3.700243428631452280e-01,2.608779371011524795e-01
3.835960070612041695e-01,3.036287327477922293e-01,3.116737892343295901e-01,3.738902190475412168e-01,2.560005766661584414e-01
3.874054378828491463e-01,3.001962762986853384e-01,3.085586898536893941e-01,3.785063029784995203e-01,2.510100380110160123e-01
3.919747305202634924e-01,2.971468469040310922e-01,3.056452558136026343e-01,3.837470297019092702e-01,2.457566405617275240e-01
3.971931169946627538e-01,2.943166447452787993e-01,3.027820926713891692e-01,3.895583236106893721e-01,2.401499169689112478e-01
4.030039152499925725e-01,2.915976463529413865e-01,2.998661654986108371e-01,3.959291595856243573e-01,2.341343124477794357e-01
4.093839668944409538e-01,2.889164546294435421e-01,2.968235153780582891e-01,4.028749472632107143e-01,2.276754166156606252e-01
4.163311416475676818e-01,2.862216833438371855e-01,2.935978431380772413e-01,4.104275736924086759e-01,2.207522294145197461e-01
4.238564786813175944e-01,2.834762649587529992e-01,2.901436684958073609e-01,4.186292797210504069e-01,2.133530195102176230e-01
4.319790292073999449e-01,2.806526902956782421e-01,2.864222379092176141e-01,4.275287364706267246e-01,2.054733838461476614e-01
4.407222588335840685e-01,2.777300393758127539e-01,2.823991344258245939e-01,4.371783345580307900e-01,1.971156874425081251e-01
4.501113123649094216e-01,2.746921320757396145e-01,2.780429785229766027e-01,4.476320656602431058e-01,1.882893834040957337e-01
4.601707027024528052e-01,2.715263956199199247e-01,2.733248605634613360e-01,4.589435911681206681e-01,1.790118940745076270e-01
4.709221431412900505e-01,2.682232033525649983e-01,2.682182934819840048e-01,4.711642230549623611e-01,1.693098315901377660e-01
4.823823445831461609e-01,2.647755329826482207e-01,2.626995611541799724e-01,4.843406261782911004e-01,1.592203805581283160e-01
4.945606729209942598e-01,2.611788484988695758e-01,2.567483867365987771e-01,4.985121133149586492e-01,1.487926754095899029e-01
5.074566240151464624e-01,2.574311428443549765e-01,2.503488688777121274e-01,5.137074611592317153e-01,1.380889923596539115e-01
5.210571352192128192e-01,2.535330966652244999e-01,2.434906391370980361e-01,5.299412398875158470e-01,1.271855509473231449e-01
5.353338199893923344e-01,2.494883169741403117e-01,2.361701852377249278e-01,5.472097300458180769e-01,1.161726934250372351e-01
5.502402882028880615e-01,2.453036214627463407e-01,2.283922647170379405e-01,5.654866038972209408e-01,1.051541945047382021e-01
5.657097968543688404e-01,2.409893315781651002e-01,2.201713051156301004e-01,5.847186735470576435e-01,9.424546435996580818e-02
5.816535548564137903e-01,2.365595321773154847e-01,2.115326543700808970e-01,6.048221458560556485e-01,8.357046082507284257e-02
5.979600654546777250e-01,2.320322495646111871e-01,2.025135150796260330e-01,6.256799531775000256e-01,7.325723664020072912e-02
6.144959071979624321e-01,2.274294953737325542e-01,1.931633777640646699e-01,6.471408149023142320e-01,6.343222026915364131e-02
6.311083031032629354e-01,2.227771238359252115e-01,1.835437717531008539e-01,6.690206829056390969e-01,5.421355426703987346e-02
6.476296854868904829e-01,2.181044573104360673e-01,1.737271880280831793e-01,6.911070888045284244e-01,4.570406102599063047e-02
6.638842241785858356e-01,2.134436517192913052e-01,1.637951020892645937e-01,7.131666135630796433e-01,3.798461631354938667e-02
6.796959691015855842e-01,2.088288002794099485e-01,1.538351342359678409e-01,7.349552497076965452e-01,3.110881665031314108e-02
