Distance,Speed,Throttle,Brake
0.0,282,99,False
4.181111111111111,284,99,False
6.476944444444445,285,99,False
29.595277777777778,286,99,False
36.690555555555555,287,99,False
48.77055555555555,288,99,False
76.7875,289,99,False
87.37666666666667,291,99,False
102.65416666666667,291,99,False
112.35416666666666,291,99,False
113.24638888888889,292,99,False
126.31305555555555,294,99,False
142.7575,296,99,False
143.4975,296,99,False
159.255,297,99,False
173.2444444444444,298,99,False
189.10805555555555,299,99,False
202.44138888888887,300,99,False
204.85805555555552,300,99,False
219.07194444444445,301,99,False
239.97472222222223,301,99,False
249.2025,302,99,False
268.5808333333333,302,99,False
272.705,303,99,False
293.90055555555557,304,99,False
303.1352777777778,305,99,False
326.93527777777774,306,99,False
331.2702777777777,306,99,False
350.7988888888888,307,99,False
351.7369444444444,307,99,False
367.8544444444444,307,99,False
384.1425,307,99,False
384.9125,308,99,False
402.9647222222223,308,99,False
405.4458333333334,308,99,False
422.6125,309,99,False
435.48750000000007,309,99,False
443.23750000000007,310,99,False
456.15416666666675,310,99,False
463.99027777777786,310,99,False
485.4319444444445,310,99,False
501.93222222222226,311,99,False
518.2597222222223,311,99,False
519.2100000000002,311,99,False
536.487777777778,311,99,False
545.9041666666668,311,99,False
563.1819444444446,311,99,False
564.1352777777779,312,99,False
581.4686111111113,312,99,False
583.9819444444446,312,99,False
603.0486111111113,312,99,False
605.7352777777779,312,99,False
623.0686111111113,312,99,False
627.315277777778,312,99,False
636.935277777778,312,99,False
639.4405555555558,311,99,False
657.6686111111113,311,99,False
665.3325000000002,310,99,False
681.7266666666669,309,99,False
682.4916666666669,306,76,False
702.7583333333336,304,53,False
709.4694444444447,302,30,False
722.052777777778,300,7,True
730.2580555555558,271,4,True
747.2005555555558,243,2,True
762.2763888888892,237,2,True
762.9822222222225,231,3,True
773.816666666667,196,5,True
774.3361111111113,187,5,True
782.2966666666669,178,5,True
791.2216666666668,170,5,True
792.6597222222224,167,5,True
801.7708333333335,164,5,True
803.9758333333335,162,5,True
811.4333333333335,157,6,True
816.0658333333336,153,7,True
822.3575000000002,150,8,True
827.6250000000001,147,9,True
829.6508333333335,143,25,True
838.492777777778,139,42,False
842.8094444444446,140,49,False
852.6311111111113,142,57,False
853.0650000000002,142,60,False
862.1613888888891,143,64,False
866.6322222222225,145,70,False
871.5655555555558,148,76,False
876.9763888888891,151,83,False
884.2486111111114,154,83,False
885.5569444444448,157,83,False
896.8036111111114,168,74,False
904.359166666667,170,62,False
904.784166666667,170,64,False
918.084166666667,171,66,False
927.2097222222226,172,68,False
934.3700000000003,173,70,False
936.8350000000004,174,73,False
945.0502777777782,175,76,False
946.5658333333337,176,80,False
961.9300000000004,179,90,False
962.4861111111114,182,100,False
972.2511111111114,186,100,False
977.0538888888892,190,100,False
981.8747222222224,195,98,False
995.2080555555558,200,96,False
1001.5288888888891,205,95,False
1011.2463888888891,207,97,False
1015.3880555555558,210,99,False
1018.2736111111112,212,91,False
1024.9027777777778,215,84,False
1032.6427777777778,216,77,False
1042.2872222222222,217,70,False
1053.9063888888888,219,64,False
1065.3513888888888,218,64,False
1066.0175,218,65,False
1079.821111111111,217,64,False
1087.7174999999997,217,63,False
1095.4574999999998,216,66,False
1099.7174999999997,216,70,False
1116.4574999999995,216,71,False
1118.3174999999997,216,73,False
1126.0933333333328,217,76,False
1137.6063888888884,217,78,False
1138.1488888888882,217,80,False
1149.7149999999995,218,81,False
1150.2624999999996,219,82,False
